hochdeutsch,bischemerisch
Himbeere,Hinkeper
Himmel,Hiemel
Himmel,Hiimel
Himmel,Himl
Himmel,Himmel
hin,h'inn
hin,hie
hin,hii
hin,n
hin,noo
hin,oni
hin,onni
hin und her,-doar
hin und her,daar
hin und her bewegen,wewere
hin und her wanken,dörmle
hinab,noa
hinauf,f
hinauf,nauf
hinauf,nuf
hinauf,nuff
hinaus,naus
hinaus getragen,nausgetroache
hinaus zum,naus'm
Hindenburg,Hindeburg
hinein,nai
hinein,nein
hinein,nej
hinein,nejn
hinein,s
hinein in,nein's
hinein tunken,dunke
hinein zu,nejtsus
hinein zu gehen,n
hinein zu gehen,nejzegeh
hineintauchen,dunke
hineintreten,dabbd
hingesetzt,setzt
hinhören,horch
hinkommen,hiekumme
hinkommen,onnitrejche
hinkommt,onnitrejcht
hinreichen,onnitrejche
hinreicht,onnitrejcht
hinschauen,higugge
hinstellen,stell
hinten,hine
hinten,hinne
hinten am,hinnem
hinten beim,hinn'm
hinten beim Wiesenbach,hinn'm Wieseboch
Hinten herum Getue,-geduu
hinten nach,hinnenooch
hinter,hinner
hinter dem,hinnerm
hinter her,hernooch
hinter her sein,nochg'sprunge
hinter sich,hinnerschi
Hinterland,Hinnerland
hinunter,er
hinunter,hinunner
hinunter,n
hinunter,noa
hinunter,nun
hinunter,nunner
hinüber,nyen
hinüber,nü
hinüber,nüü
hinüber,nüüwer
hinüber,ü
hinüber dem Acker,nyen ager
Hirn,Hiere
Hirn,Hiire
hirnverbrannt,härndoywisch
Hirsch,Härsch
Hirt,Härt
Hitze,Hitz
hoa,i
Hoammberch,Hoammbäff
Hobel,Hofl
hoch,f
hoch,hooch
hoch,houch
hoch,nuf
hoch,nuff
hochdeutsch,hochdäutsch
hochdeutsch redet er wie,-an Herr
hoche,hooche
Hochmut,Gigl
Hochmütiger,Gigl
Hochzeit,Hochds
hocke,c
hocke,ho
hocke,hog
hocke,k
hocken,hocke
hockt,c
hockt,ho
hockt,hockd
hockt,hogd
hockt,kd
Hof,Houf
hoffe,hof
hoffen,e
hoffen,f
hoffen,hof
hoffen,hoffe
Hoftüre,Houfdoor
hohen,hohe
hohler,höyler
Hohlweg,Houle
hol,houl
hole,houl
holen,houle
holt,houl
holt,höult
Holunder,er
Holunder,Hol
Holunder,Holler
Holunder,l
Holunderbusch,Hollerbuusch
Holunderstock,Hollerschdok
Holz,Houlds
Holz,Houlz
Holz holen,Houlzhoule
Holzgefäss,Schtütze
Holzgestell zum Auflegen von Obst,Horde
Holzgestell zum Lagern von Äpfeln,Öpfelhorde
Holzmengenmaß,Steer
Holzziegel,Schindl
Honickel,Honigl
Honig,Honich
Hopfen,Hopfe
Hopfen,Schlautern
hopfenleicht,hopfelaicht
hopft,höpft
hopft es,höpft's
horchen,horch
horcht,horch
Horn,Hore
Hornissen,Neudötern
Hose,-oo
Hose,Hoos
Hose,House
Hose,n
Hosen,House
Hosenleder,Houseleder
Hosennässer,Hosebrunzer
Hosenscheißer,Housebümber
host,do
hott,do
Houf,hotzdummel
Houseträächer,Housebümber
Hubbemachen,Hubbemoache
Huhn,Hyngele
Huhn,Hüngele
humoristisch für Schuster,Bechpfedser
Hund,Hunn
Hund,Hunt
Hund,Huund
Hunde,Huun
Hunde,Hyn
Hunde,Hynt
Hunde,Hünd
Hunde,Hünt
hundert,hunnerd
hundert,hunnert
Hundheim,Hunde
Hundheimer,Hundemer
Hundstage,Hundsdääch
Hunger,Huncher
hungrig,hungri
hungrig,hungrich
hupfen,hopfe
Huppen,Hubbe
Huppen machen,Hubbemoache
Huppenlied,Hubbelied
Huppenlied,Huppelied
Huppenmachen,Hubbemoache
Huppenmachen,Huppemache
Huppenstengel,Hubbestengel
Hurengesindel,Hurebogaschi
hurtig,hordle
hurtig,hordli
hurtig,hortli
Huschenbach,Huscheboach
Hussenbach,Huscheboach
huste,hust
Husten,Husde
husten,kaiche
Husten beim Federvieh,Pfimf
hustet,t
Häckchen,Högle
Häcker,b
Häcker,e
Häcker,Heb
Häcker,Häggr
Häfelchen,Hefele
Häfner,Hefner
Hähne,Goggerli
Häkchen,Hogle
Hälse,Helds
hälst,hilst
hält,helt
hält,hilt
Hämmer,Hemmer
hämmern,hemmere
hämmert,hemmerd
Händchen,Hendle
Hände,Hen
Hände,Henn
Hände,n
Hände Verniedlichungsform,Hennli
Händler,Hendler
Händlergeschrei,schraa
hängen,hange
hängen,henge
hängen,hänge
hängt,hangt
hängt,hengt
hätte,hätt
hätte er,hätt'r
hätte es,hätt's
hättest,hest
hättest,häst
häufig,häufig
Häuptlein Kraut,Haabtle
Häuschen,Häusli
Häuser,Hayser
Häuser her,Häuser häär
Häuslein,Hausele
Häuslein,Häusli
Häut,Hayt
Häärchen,Höhrli
höchste,högste
Höfe,Höyf
Höhberg,Höhberch
Höhe,Höch
Höhe,Höh
höher,höcher
Höhle,Höhl
höhr,höör
höhre,höör
Hölle,Höl
Höllengespenster,spensder
Höllengestalten,spensder
Hölzchen,Höldsle
hölzernes Modell,Moudl
Höpfingen,Höpfi
hör,i
höre,hör
höre,höör
hören,heere
hören,horch
hören,horche
hören,höre
Hörnchen,Hörnle
Hörnchen,Hörnli
hörst,hörschd
hüben,hywe
hüben,hüwe
Hüfte,Hüft
Hügel,Bug
Hügel,Buggel
Hügel,g
Hügel,l
hüh,hüj
Hühnchen,Hyle
Hühner,Hyner
Hühner,Hünger
hüpfen,hopfe
Hüpfer,Höpfer
Hürde,Dare
Hüsterchen,Hüsterle
Hüte,Hüdde
Hüte,Hüüt
hütet es,hütt's
Hütte,d
Hütte,e
Hütte,Hyde
Hütte,Hüd
Hütte,Hüdde
Hütten,Hüdde
i,a Weile hoa
i,borzl
i,deng
i,denk
i,geh
i,hald
i,hoa
i,hätt
i,höör
i,jetz hald
i,kriech
i,maan
i,märk
i,ob
i,pack
i,s
i,schloof
i,soach
i,Sou hoa
i,spazier
i,spür
i,troach
i,unn
i,waaß
i,wach
i,wi
i,will
i,woar
i,wärrd
i hundskrach müüd,do wärrd
i krote,des kon
i noch früh,will
ich,gäw
ich,i
ich,iech
ich,ieh
ich,ih
ich,iich
ich bringe dich,-di
ich fahre,foer
ich gebe alles her für die eine,i gää oalles här for di oane
ich habe ihn,-n
ich habe zwei bestellt,iech hoab zwaa bestellt
ich heiße,haße
ich hocke mitten drinnen,i hock midde drin
ich kann nicht,i konit
ich kenne dich,ih kenn di
ich komme mit,i kumit
ich sehe nichts mit,i sääh nix miit
ich treibe,treiwe
ich weiß,wesse
ich wette,I wett
ich würde gehen,gengt
ich würde heim gehen,i gengkt haam
Igel,Igel
Igel,Iichel
Ignaz,Naaz
ih,Kenn
ih,kenn
ihm,aam
ihm,em
ihm,emm
ihm,ihm
ihn,'n
ihn,en
ihn,ihn
ihnen,ne
ihr,d'r
ihr,dier
ihr,dr
ihr,eier
ihr habt gehabt,ir het kode
ii,hoa
ii,Sou hoa
iich,wi
Ilmspan,Ilmspo
Ilmspan,Imelschbo
im,im
im,wi
im Kinderspiel,aosaafe
im Kopf umnachtet,döywisch
im linken Bei habe ich Schmerzen,s
im Ringel,imgringl
im Ringel,Kringel
im Ringel,kringstrüm
im Taubental,Mendele
Imbiss,Imes
immer,immer
immer wieder,alsefort
Impfingen,Ympfi
Impfingen,Ümpfi
Impfinger,Umpfemer
Impfinger,Ympfemer
Impfinger,Ümpfemer
in,in
in Aufsätzen,Büschmerisch geschrieben von Hugo Pahl in Bi
in den,nejn
in die Höhe,dhö
in die Höhe,ntö
in die Höhe,tö
in die Mangel nehmen,zwüwle
in einander,inenanr
in einem,inäme
in einem fort,-fort
in einer,ere
in gleichmäßiger Bewegung gehen,drabe
in kürzester Zeit,Nu
in Verhütungsform,dsum daigsel
Indianer spielen,Indianerlisspiele
innen,hin
innen,inne
Inneren,Innre
innerer Dialog,Zwiesprooch
ins,inds
ins,nejs
ins Bett,inds Bet
intensiver Pfeifenraucher,Klouwe
ir,hätt
ironische Bezeichnung für vornehmes Frauenzimmer,Dendl
irr,är
irren,äre
Irrer,Ärer
irrt,ärrt
Irrtum,m
Irrtum,Ärrdum
is,därr
iss,do
iss,er
iss,es
iss,hoa
iss,s
iss,wu
iss best,s
iss doch zestann gebroocht,jetzt hoa
ist,is
ist,iss
ist,s
ist,san
ist beschäftigt,wörcheld
ist ein wenig schwer,iss a wenni schwär
ist er,iss'r
ist er,r
ist es,is's
ist sauber,isauwer
ißt,acheld
ißt,achelst
ja,jaa
ja,jo
ja,o
ja das,s
Jagd,Joacht
jagen,joache
jagen,joche
jagst,jeichst
Jahr,Joar
Jahr,Johr
Jahr,Joohr
Jahre,Joare
Jahre,Johre
Jahre,Jöhrli
jahrelang,gk
jahrelang,johrelon
jahrelang,n
Jakobustag,Jakowi
Jammer,Jomer
Jammern,Grone
jammern,grone
jammern,jomere
Januar,Janewoar
Januar,Januar
Jauche,Pfuhl
Jauchefaß,Pfuhlfoass
jede,alli
jede,jede
jede,jedi
jede Menge,nuuch
jedem,jeddem
jedesmal,jedesmoal
jedesmal,jedesmool
jeher,jeehär
jemand,bodse
jemand,ääner
jemand,öbber
jemand,öber
jemanden locken,locke
jene,sell
jene,selli
jenen,selene
jenen,sellem
jenen,sellen
jener,selere
jener,sell
jener,seller
jener,sellre
jener,sellrer
jenes,sell
jenes Mal,sellemool
Jesus,Jeses
Jesus,Jösses
jetzt,awl
jetzt,awweil
jetzt,awwell
jetzt,eds
jetzt,groad
jetzt,jedst
jetzt,jetz
jetzt halte ich es nicht mehr,s nimmi lenger aus
Joch,Jocht
Johann,Hanes
Johannes,Hannes
Johanniskraut,Kandskraud
Johanniskraut,Kannskraud
Johanniskäfer,Kandskäfer
Johannistrauben,Kandsdrauwe
Johannmichael,Hanmichl
Josef,Sebbl
Josef,Säbb
Josef,Säbber
Josef Dürr,ess Rädle kärrd
Jubel,Juuwel
juckt es,jückt's
Jude,Jyyt
Jude,Jüt
Jude,Jüüd
Jugend,Juchend
Jugend,Jugend
Jugend,Juuchend
Jugendglück,Juchendglück
Jugendglück,Juuchendglück
Jugendliche,Kröidebuwe
Jugendzeit,Juchendzeit
Jugendzeit,Juuchendzeit
Juli,Juli
Juli,Juuli
jung,jung
jung,junk
Junge,Bub
Junge,Jung
junge,jungi
junge Schweine,Säuli
Jungen,Junge
Jungenfreude,Buuwefraad
Jungengesang,Buwegsoong
junger Finke,Finkle
junger Holzstoff einer Eiche zwischen Rinde und Kern,Schbi
junges Schwein,Lafer
junges Schwein,Lafr
junges Vieh,Raube
Juni,Juni
Juni,Juuni
Jäger,Jecher
Jährlein,Jörle
jähwettern,gowedle
Jähzorn,Gedsore
Jörg,Jörch
jüdische Frau,Kheile
jünger,junger
Jüngsten,Jüngste
jüngsten,jüngste
k,k'hääb
Kaffee,Kaffe
Kaffeesatz,Sods
Kahn,Schelch
Kaiser,Kaaser
Kaiser,Khaser
Kalb,Kolep
Kalb,Koolp
Kalben,kalwe
Kalender,Kalender
Kalender,Kalenner
Kalk,Kalich
Kalk,Kolich
kalt,kald
kalt,koald
kalt,koalt
kalt,koolt
Kalte,Kalde
kalte,kalde
kalter,kalder
Kamerad,Kumrad
Kamm,Kamm
Kamm,Komp
Kamm,Koomb
Kammer,Kamern
Kanal,Kanoal
Kandel,Kendel
kann,ko
kann,koann
kann,kon
kann,konn
kann,n
kann es,konn's
kann es,s
kann man,kommer
kann mann,kommer
kann nich,konit
Kanne,Kane
kannst,kaonnst
kannst,konnst
Kanzel,Koanzel
Kapelle,Kabelle
Kapellen,Kabelle
kapieren,kabiere
Kappe,Kabbe
Kappe,Kabe
Kappsel,Kabsl
kaputt,kabutt
kaputte,kabuddi
Karl,Koarle
Karle,Koarle
Karre,Kare
Karren,Karre
Karst,Koarschd
Karst,Korst
Karste,Kärscht
Karten,Karde
Kartenspiel sans prendre,Sampjander
Kartoffel,Grumbiere
Kartoffel,Kardoffel
Kartoffel,Krumbiire
Kartoffelbrei,Kardoffelbrei
Kartoffelkrautfeuer,Kardoffelkreudisfeuer
Kartoffeln,Grumbiere
Kartoffelsuppe,Kardoffelsubb
Kasernenhof,Kasernehouf
Kasper,Kasber
Kastanie,Kasdaniche
Kastanien,Kastannie
Kater,Koder
Katz,Kads
Katze,Katz
kauern,kauche
Kauf,Kaaf
kaufen,e
kaufen,f
kaufen,kaafe
kaufen,kaf
kaufen,kafe
Kaufladen,Loade
Kaufmann,Kremer
kauft,kaaft
kauft,kaffd
kauft,kafft
kaum,knaps
kaum,koum
keck,keg
kecker,keger
keifen,gilfe
keift,gilfd
Keim,Kaim
Keim,Kaym
keimen,kayme
kein,ka
kein,ka'
kein,kaa
kein,kao
kein,kaom
kein,kee
kein,koa
kein,koan
kein,n
keine,kaa
keine,koa
keine,n
keine Milch mehr gebend,fersie
keinem,kaa'm
keinem,kaam
keinen,kan
keinen Schutz gewährend,uschütsi
keiner,er
keiner,ka
keiner,kaaner
keiner,kaoner
keiner,koaner
keiner,n
keiner,niemes
keines,koans
keines,niemes
Keller,Keler
Kelter,Bres
Kelter,Kaldern
Kelterlager,Bit
kenne,kenn
kenne ich dich,-di
kenne ich dich,kenn ih di
kennen,kenne
Kepelle,Kebele
Kerl,Kärl
Kerle,Kärle
Kern,Keere
Kerwe,Kä
Kerwe,rwe
Kerwe,ä
Kerze,Kärdse
Kerze,Kärze
Kerzenlicht,Kärzeliicht
Kessel,Kesl
Kesselfleisch,Kreddelflaasch
Kette,Kedde
keuchen,kaiche
Kien,Ki
Kiesel,Kisl
Kiesel,Kissel
Kieselstein,Kieselstaan
Kieselstein,Kisselstaa
Kieselsteine,Kisselstaan
Kind,Kiend
Kind,Kiind
Kind,Kiint
Kind,Kinn
Kind,Kint
Kinder,Kin
Kinder,Kinn
Kinder,Kinner
Kinderangst,Kinnerengst
Kinderjubel,Kinnerjuuwel
Kinderspiel,Burchlesspiele
Kinderspiel,Kinnerspiel
Kinderspiel,Noochrennerlis
Kinderspiel,Noochrennerlisspiele
Kinderspiel  S,dopfe
Kinderwagen,Kinnerschees
Kinderwagen,Schees
Kinderwunsch,Kinnerwuunsch
Kindlein,Kindle
Kindlein,Kinle
Kindlein,Kinli
kindliches Gerede,bebbere
kindliches Gerede,bebbern
kindliches Gerede,Gebebber
Kindskopf,Kindskoupf
Kinematograf,Kinemadograafe
Kinnlade,Bag
Kinnlade,e
Kinnlade,g
Kirche,Goddeshaus
Kirche,Kerche
Kirche,Kärch
Kirche,Kärche
Kirche,Kärich
Kirche,Käärch
Kirchelberg,Kärchelberch
Kirchen,Kärche
Kirchenbank,Kärcheboonk
Kirchenbaum,Kärscheboam
Kirchendüür,Kerchedüür
Kirchenschlaf,Käärcheschloof
Kirchenturm,Kärcheduure
Kirchheim,Khiri
Kirchweih,Kä
Kirchweih,Kärwe
Kirchweih,rwe
Kirchweih,ä
Kirchweihmusik,Kä
Kirchweihmusik,Kärwemuusich
Kirchweihmusik,rwemuusich
Kirchweihmusik,ä
kirrt,kerrt
Kirschen,Kersche
Kirschen,Kärsche
Kirschenbaum,Kerscheboam
Kirschenmichel,Kärschemichel
Kissen,Kyse
Kittel,Kiddel
Kittel,Kidl
Kittel Verniedlichungsform,Kidele
kitzeln,khutsle
kitzeln,kudsle
Klafter,Glofder
klagen,gloche
Klammer,Glamern
Klammern,Glamere
klappern,glabern
klappern,klappere
klappert,klabberd
klappert,klapperd
klar,gloar
klar,klor
Klarinette,Kla'nett
Klarinette,nett
Klasse,Klass
klauen,klaue
kleben,babbe
kleben,klejwe
klebende Masse,Bäbb
Klee,Gle
kleiben,glaawe
Kleid,Glaat
Kleid,Klaad
kleiden,glade
Kleider,Glaader
Kleider,r
Kleiderleib,Glaaderlaap
kleidet,glat
klein,gla
klein,gloa
klein,klaa
klein,klaan
klein,klee
klein,kloa
klein,putsit
klein gebliebene Kartoffeln,Norweli
klein gebliebenes Obst,Norweli
klein gewachsen,budsich
klein gewachsen,budsit
Kleinbürger,Kloabörcher
kleine,klaane
kleine,klaani
kleine,klaone
kleine,kloani
kleine Grannen,Ochl
kleine Mädchen,Schmoolmadli
kleine Mücken,Putsichl
kleine Sau,Putssäule
kleine Würste,Wörschdli
kleinen,Knubberle
kleiner,Fischle
kleiner,glener
kleiner,gloaner
kleiner,kloaner
kleiner Aufkleber,Bäbberle
kleiner Bart,Dornbüschle
kleiner Fisch,Grup
kleiner Junge,Buu
kleiner Junge,Büwwle
kleiner Junge,Büüwele
kleiner Junge,Büüwle
kleineres Zimmer,Stüwwle
kleines,kloans
kleines Licht,Lichdli
kleines Licht,Liichtli
kleines oder junges Tier,Dierle
kleines Pflaster,Bäbberle
Kleingewachsener,Dswugl
Kleinigkeit,Klaanichkeit
Kleinigkeit,Kloanichkeit
kleinste,glendst
kleinste,klanste
Kleinstädte,Städt
Kleister,Bäbb
Kleister,Glaisder
Klette,Glede
Klettergerüst,Glewergrüsd
klettern,glewere
klettern,klettere
klettern,kläwwere
klettert,kläwwerd
klingen,klinge
klingt,klingd
Klinke,Glinge
klirrt,klerrt
klirrt,klärrd
Klopfen,Geklopf
klopfen,glopfe
Klopfen,Klopfe
klopfst du,klöpfst
klopft,kloupfd
klopft,klöpfst
Kloster,Glosder
Kloster,Klouster
Klostergasse,Kloustergaß
Klosterkirche,Klosterkärch
Klotz,Glouds
Klotz,Kloutz
Kloß,Glo
Kloß,Klouss
Kloß,o
Kloß,s
Klumben,Glumbe
Klump,Glumb
Klumpen,Klumbe
Klumpenkuchen,Klumbeploatz
Klötze,Glöds
Klöße,Glös
Klöße,Klöuss
Klüpfel,Glypfl
knabbern,knebbern
knabbern,knäbbern
knabbert,knebbert
knabbert,knäbberd
Knall,Gnal
Knecht,Gnecht
Knechte,Knäächt
knechten,gnechde
kneifen,dswige
kneten,gneede
Knicks,Gnigs
Kniebohrer,Kniebööhrer
Knieböhrer,Kniebööhrer
knien,gniwe
Knirschen von Leder,gradse
knirscht,knerrschd
Knoblauch,Gnoweli
Knoblauchzehen,Knoweli
Knochen,Gnoche
Knorre,Gnörle
Knospen,Knosbe
Knoten,Gnoude
Knoten,Knoude
Knuppern,Knuppre
knurren,gaore
Knurren im Bauch,Kore
knurren im Magen,gaore
Knurren im Magen,göre
Knäuel,Gnayl
Knäuelchen,Gnayle
Knöchlein,Gnöchle
Knöpfe,Knöpf
Knüttel,Bausch
Knüttel,Gnydl
Knüttel,Gnypfl
Koch,Koch
kochen,koche
Kochen,Koche
kochst,köchst
kocht,köcht
kocht es,s
Kochtopf,Kochdoupf
Kohl,Dorsche
Kohl,Kol
Kohle,Kouhle
Kohlen,Kouhle
Kohlrabe,Kolerawe
kohlrabenschwarz,kouhleraweswoarz
Kollegen,Kolleche
komm,kumm
komm bald wieder zurück,kumm ball widder für
kommandieren,kummediere
komme,kumm
komme,kumme
komme mit,kumit
kommen,e
kommen,kum
kommen,kumme
kommen,m
kommst,kumme
kommst,kynst
kommst,kündst
kommst,künnst
kommst,künst
kommst du,kümmst
kommt,kummt
kommt,kyndst
kommt,kynt
kommt,kääm
kommt,kümmd
kommt,kümmt
kommt,künnt
kommt er,r
kommt es,künnt's
kompliziert,üwwerzwerch
kompliziertes Durcheinander,Gwörchel
Komödie,di
Komödie,e
Komödie,Kumme
Komödie,Kummeedi
konn,mr
Konviktler,Kröidebuwe
Konviktler,Studentli
Kopf,Dölles
Kopf,Dötz
Kopf,Dööz
Kopf,Kopp
Kopf,Koupf
Kopf,Köpfle
Kopfziehen,Dsyche
Korb,Ko
Korb,Korep
Korb,Kötze
Korb,o
Korb,reb
Kordel einer Peitsche,Schmaaß
Korn,Ko
Korn,Koore
Korn,o
Korn,re
koscher,Khousr
koscher,kouscher
Koseform für Auge,Aachgugele
Koseform für Augen,Aachgugeli
Koseform für Martina,Dine
Koseform für Nase,Nääsle
Kosename für ein Tier,Dierle
kosten,kosde
kosten,koste
kostet,kosd
kostet,kost
krabbeln,grawele
krabbeln,krawweln
krabbelt,krawweld
krabbelt,krawwelt
krabbelt es,krawwelt's
Kraft in den Gliedern,Howing
Kragen,Kroache
Krampf,Grompf
krank,gronk
krank,krank
krank,kroonk
krank,maladri
krank,malatri
Kranke,Gronke
Kranker,Granger
Kranker,Gronkr
Krankheit,Krenk
Kranksein,Krenk
Kranz,Grands
Krapfen,Krapfe
kratzen,grapfe
kratzen,kratze
kratzen mit den Fingernägeln,grapfe
Kraufhafen,Kraudhoaft
Kraut,Graut
Kraut,Graydi
Kraut,Kraud
Krauthafen,Kraudhoafe
Krauthaupt,Hablegraut
Krautköpfe,Kraudsköpf
Krautstengel,Doersche
Krautständer,Grautstenner
Krautständer,Kraudstenner
Krautständer,Krautstenner
Krautständer,Schdener
Kreaturen,Viecher
kreischen,kilfere
Krensheim,Grasi
Krensheim,Gresi
Krensheim,Krassi
Krensheimer,Gresemer
Kresse,Grese
Kresse,Krese
Kreuz,Grayds
Kreuz,Kreiz
Kreuze,Kräuz
Kreuzer,Graydser
kribbeld,m
kribbeld über Hände und,m oawwer Henn unn Ohre
kriechen,krieche
kriechen,kriiche
kriechende Bohnen,Kauchbone
Krieg,Grich
Krieg,Kriech
Krieg,Krieg
Krieg,Kriich
kriegen,griege
kriegen,krieche
kriegst,kriechst
kriegst,krist
kriegst,rist
kriegt,cht
kriegt,i
kriegt,kri
kriegt,kriecht
kriegt,kriicht
Krone,Grone
Kronenwirt,Kronewärd
Kropf,Groupf
Kropf,Kröpf
Krott,Gröyd
Krug,Gruuch
Krug,Kruuch
krumm,grum
krumme,krummi
Krustenstücke,Krustestücker
Kräfte,Krefde
kräftig,grefdi
kräftig,krefdi
kräftig,kräftig
Krähe,Grak
Krämer,Gremer
Krämer,Kremer
Krämpfe,Grempf
Krätze,Groads
Kräuter,Kräuder
Kräutersuppe,Kräudersubb
Kröte,Gröyd
Kröte,Kröid
Kröte,Kröide
Kröte,Kröüt
Kröten,Kröide
krötenbreit,kröideprat
Krötenbuwen,Kröidebuwe
Krüge,Grych
Krüge,Grüüch
Krüge,Krüüch
krümmer,grymer
krümmer,grümer
Kuchen,Kuche
Kuchen,Ploatz
Kuchen,Plöötzer
Kuckuck,Guguck
Kugel,Kuchel
Kugel,Kuchl
kugelrunde,kuchelrunde
Kuh,Kuuh
Kuhmagen in Streifen geschnitten,Kudl
Kundschaft,Kunnschaft
Kunst,Kundst
Kunst,Kuunst
Kupferdraht,Kupferdroht
kuriose,koriose
kuriose,koriosi
kurz,koarz
kurz,kuerds
kurz,kuords
kurz gewachsener Mensch,Knäudl
kurzatmig,koarzodmi
kurze,korzi
kurzer,korzer
kurzes Stroh,Wärschro
Kuss,Kuss
Kutte,Kude
Kutteln,Kudl
Kuvert,Kuwert
Käfer,Kefer
Käfer,Käffer
Käfer Verniedlichungsform,Käfferli
Käfig,Käffich
Kälber,Kelwer
Kälble,Kelwle
Kälte,Kelt
käme,kem
käme,kääm
käme,köm
Kämme,Kem
Kämme,Kemm
kämmen,kemme
kämmt,kemmd
kämpfen,kempfe
Kämpfen,Kempfe
kämpft,kempft
Kärwe,Kärschemichel
Käse,Kese
Käse,Käs
Käse,Kääs
Käsebrot,Kesebrot
Käsesorte,Bibbeleskääs
Käsesorte,Bibbeliskääs
Kätchen,Kedche
Kätzchen,Kedsli
Kätzchen,Kätzle
Kätzchen,Kätzli
Käuzlein,Käunzle
König,Könich
König,König
Königheim,Keniche
Königheim,Kennje
Königheimer,Kennemer
Königheimer Einwohner,Kennemer
Königshofen,h
Königshofen,Khünshoufe
Königshofen,Kyndshoufe
Königshofen,Küns
Königshofen,oufe
Königshöfer,Kyndshöufener
Königshöfer,Königshoufemer
Königshöfer,Künichshöufer
Königskerze,Könichskerze
Königskerze Würzbüschel,Könichskerze
können,e
können,kenne
können,kön
können,könne
können,n
können wir,könne mier
können wir,könne mr
könnt ihr,r
könnte,könnt
Köpfchen,Köpfle
Köpfe,Köpf
Körb,Körp
Körper,Körper
Kübel,Kywl
Kübel,Küwwel
Kübel,Schdüwich
Küche,Kyche
Küche,Küch
Küchentisch,Küchediisch
Küchle,Küchli
Küchlein,Küchli
Kücken,Bibbele
Küferbeil,Degsel
Küffle,Küchli
Kühe,Ky
Kühe,Kü
Kühe,Küü
Kühe Verniedlichungsform,Kühli
kühl,kühl
Küken,Bibberle
Külsheim,Khülse
Külsheim,Kylse
Külsheimer,Kylsemer
Kümmel,Kyml
Kümmel,Küml
Kürbis,Körbs
kürzer,kördser
küssen,kyse
küssen,küse
küsst,küssd
Labkraut,Bet
Labkraut,stroh
Labkraut,t
lachen,kudere
lachen,lache
Lachen,Lache
lacht,lachd
Laden,Loade
laden,loade
Lager,Laacher
lahm,lohm
lahm,lom
lahm,lommeri
lahme,lohme
Lahmer,Lohmer
Lakritze,Bä
Lakritze,Bääredreck
Lakritze,redrääg
Lakritze,ä
lallen,lale
Lampenlicht,Lambeliicht
Land,Land
Land,Lendle
Land,Loand
Land,Lont
Land,Loond
Landvermesser,Loondschieder
Landwirte,Baure
lang,lang
lang,lo
lang,loang
lang,long
lang,longk
lang,lonk
lang,loong
lang,loongk
lang,ngk
lang,o
lang gewachsen,schmelmit
lange,langi
lange,longi
langen,lange
Langeweile,Langiweil
Langfinger,Langfingerlis
langsam,langsam
langsam,langsaom
langsam,loangsoam
langsam,schdat
langsam,schdet
langsam,schtat
langsamer,Gnödser
Langsamkeit,Gegnöds
Lappen,Fedse
Lappen,Labe
lass,loß
lassen,e
lassen,los
lassen,losse
lassen,s
lasst es,s
Last,Loast
Laterne,Laderne
Latte,Lade
Latwege,Ladwäriche
Laub,Laab
Laub,Lap
Laube,Laawe
Laubhütte,Lawerhyde
Lauch,Laach
Lauda,Laude
Laude,Owr
lauern,luure
lauert,luurt
lauf,laaf
laufe davon,lafun
laufen,laafe
laufen,lafe
laufen,laufe
Laufkäfer,Schollepaiser
lauft,laafd
lauft,laaft
Laurentiusberg,Lorenzeberch
Laurentiusberg,Lorenziberch
Lausbub,Lausbüble
Lausbub,Lausbübli
Lausbube,Lausbuu
lauschen,lausche
lauschen,luure
Lauscher,Luurer
lauscht,luurd
lausige,lausiche
laut,laud
laut,laut
Laute,Laud
lauter,lauder
lautet,t
Lavoir,Lafoor
Lawinen rollen lassen,Lawinenrollelosse
laxiert,laxierd
laßt es,loßt's
lebe,läbb
lebe,lääb
lebe wohl,lääb
Leben,leewe
Leben,Läwe
Leben,Lääwe
leben,lääwe
lebendig,lawendi
lebendig,lawenti
lebendig,lewwide
lebendig,läwend
lebendig,läwende
lebendige,lewwedi
Leber,Lewern
Lebkuchen,Läbkuche
Lebkuchen,Läbküchli
lebst,läbst
lebt,lääbt
Lebtag,Ledi
Lebtag,Läbdoach
lecken,lege
lecken,läcke
Leckerbissen,Leckerbiß
Leckerbissen,Läggerbiss
Leckerbissen,Läggerbissli
leckt,läckt
leckt,läggt
Leckt sich das Mündchen ab,s Göschle oa
ledig,d
ledig,i
ledig,led
ledig bist,leddi bist
leer,lear
leer,läär
leer aus,leraus
leere,lääre
Lefze,Lefdse
legen,lege
legen,leiche
legen,lejche
legt,lejcht
Lehm,Lahme
Lehm,Loahme
Lehm,Lome
Lehmgrube,Loahmegrüwwe
Lehmgrube,Lomegrywe
lehnen,lene
lehnt,lahnt
Lehre,Lehr
Lehrer,Lehrer
Lehrer,Lährer
Leib,Laap
Leib Brot,Broodlaab
Leibspeise,Leibspeis
Leiche,Laich
Leiche,Leich
Leichenbegängnis,Laicht
Leichenrede,Leicherejd
leicht,laacht
leicht,laicht
leicht anlangen,dadsche
leicht berühren,dädschle
leicht schlagen,dedschle
leicht schlagen,dädschle
leichter,leichder
leichtes Schlagen auf den Hintern,Schinkeklopfe
leichteste,laichst
Leichtsinniger,Schluri
leid,an
leid,laad
leid,laat
Leid,Lad
leiden,leide
Leiden,Maläste
Leier,Laiern
